Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,opposite team
V Kohli,2019-2023,18,18,0,990,123,55,1030,96.11,3,6,0,82,11,Australia
RG Sharma,2019-2023,14,14,0,658,133,47,754,87.26,2,3,1,54,20,Australia
S Dhawan,2019-2020,15,14,0,639,143,45.64,671,95.23,2,3,2,84,5,Australia
SS Iyer,2019-2022,10,9,0,507,80,56.33,509,99.6,0,7,0,39,15,West Indies
Shubman Gill,2019-2023,8,8,2,484,208,80.66,441,109.75,2,1,0,47,18,New Zealand
V Kohli,2019-2023,11,9,1,421,120,52.62,428,98.36,2,2,2,51,1,West Indies
RG Sharma,2019-2023,11,10,1,394,159,43.77,413,95.39,1,2,0,51,8,West Indies
KL Rahul,2019-2023,11,11,2,392,80,43.55,419,93.55,0,3,0,29,11,Australia
RG Sharma,2019-2023,9,9,0,356,101,39.55,413,86.19,1,3,0,33,15,New Zealand
SS Iyer,2020-2022,6,5,0,346,103,69.2,362,95.58,1,3,0,39,6,New Zealand
HH Pandya,2019-2023,7,7,1,324,92*,54,284,114.08,0,2,0,25,11,Australia
V Kohli,2019-2023,4,4,2,317,166*,158.5,247,128.34,2,0,0,29,9,Sri Lanka
RR Pant,2019-2022,6,5,1,312,125*,78,249,125.3,1,2,1,28,13,England
MS Dhoni,2019-2019,7,7,3,305,87*,76.25,393,77.6,0,4,1,20,6,Australia
RA Jadeja,2019-2023,16,12,3,292,66*,32.44,374,78.07,0,1,1,16,8,Australia
S Dhawan,2019-2022,8,8,1,291,75*,41.57,362,80.38,0,3,0,39,2,New Zealand
RG Sharma,2019-2022,7,7,1,285,102,47.5,298,95.63,1,1,1,41,5,England
KL Rahul,2019-2022,5,5,0,282,102,56.4,320,88.12,1,1,0,27,6,West Indies
V Kohli,2019-2023,10,10,0,279,60,27.9,330,84.54,0,2,0,27,3,New Zealand
Shubman Gill,2022-2023,5,5,1,246,98*,61.5,265,92.83,0,2,0,24,4,West Indies
SS Iyer,2022-2022,6,6,2,245,113*,61.25,236,103.81,1,1,0,29,2,South Africa
HH Pandya,2019-2022,7,6,0,245,71,40.83,201,121.89,0,2,0,22,8,England
RG Sharma,2019-2023,4,4,0,245,103,61.25,231,106.06,1,1,0,27,9,Sri Lanka
Shubman Gill,2022-2022,3,3,1,245,130,122.5,203,120.68,1,1,0,31,2,Zimbabwe
KM Jadhav,2019-2019,7,7,3,233,81*,58.25,264,88.25,0,2,0,24,2,Australia
V Kohli,2019-2022,6,6,0,228,66,38,272,83.82,0,3,0,23,1,England
RR Pant,2019-2022,9,8,0,222,71,27.75,224,99.1,0,2,1,24,6,West Indies
KL Rahul,2019-2023,4,4,1,221,111,73.66,256,86.32,1,1,0,22,2,Sri Lanka
S Dhawan,2019-2022,7,6,0,216,97,36,269,80.29,0,2,0,22,4,West Indies
S Dhawan,2021-2022,6,6,1,210,98,42,262,80.15,0,2,0,26,2,England
Ishan Kishan,2022-2022,1,1,0,210,210,210,131,160.3,1,0,0,24,10,Bangladesh
Shubman Gill,2023-2023,3,3,0,207,116,69,169,122.48,1,1,0,30,2,Sri Lanka
KL Rahul,2019-2020,4,4,1,205,112,68.33,192,106.77,1,1,0,12,8,New Zealand
S Dhawan,2019-2022,7,7,0,202,79,28.85,257,78.59,0,2,0,22,2,South Africa
AT Rayudu,2019-2019,5,5,2,190,90,63.33,231,82.25,0,1,1,18,6,New Zealand
RG Sharma,2019-2022,3,3,1,182,104,91,151,120.52,1,1,0,14,11,Bangladesh
KL Rahul,2019-2021,4,4,1,177,108,59,184,96.19,1,1,1,11,6,England
SA Yadav,2022-2023,8,8,1,177,64,25.28,204,86.76,0,1,0,20,2,West Indies
HH Pandya,2019-2023,7,5,0,175,54,35,180,97.22,0,1,0,14,8,New Zealand
KL Rahul,2019-2022,4,4,0,172,77,43,200,86,0,2,0,12,5,Bangladesh
S Dhawan,2022-2022,3,3,1,154,81*,77,202,76.23,0,1,0,18,0,Zimbabwe
V Kohli,2019-2022,4,4,0,153,113,38.25,139,110.07,1,0,0,16,2,Bangladesh
RA Jadeja,2019-2020,4,3,1,140,77,70,139,100.71,0,2,0,7,5,New Zealand
RG Sharma,2019-2019,1,1,0,140,140,140,113,123.89,1,0,0,14,3,Pakistan
Ishan Kishan,2022-2023,3,3,0,135,55,45,137,98.54,0,2,0,15,3,West Indies
V Kohli,2019-2022,4,4,0,134,65,33.5,186,72.04,0,2,1,9,0,South Africa
S Dhawan,2021-2021,3,3,1,128,86*,64,144,88.88,0,1,0,15,1,Sri Lanka
SA Yadav,2021-2023,4,4,1,128,53,42.66,105,121.9,0,1,0,18,0,Sri Lanka
Ishan Kishan,2022-2022,3,3,0,123,93,41,139,88.48,0,1,0,9,7,South Africa
SN Thakur,2022-2022,5,3,2,123,50*,123,112,109.82,0,1,0,13,2,South Africa
