Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4 Wickets,5 Wickets,opposite team
Mohammed Shami,2019-2019,1,1,9.5,1,40,4,10,4.06,14.7,1,0,Afghanistan
Mohammed Shami,2019-2023,15,15,130.2,4,777,24,32.37,5.96,32.5,1,0,Australia
Kuldeep Yadav,2019-2023,15,15,138,2,832,20,41.6,6.02,41.4,0,0,Australia
JJ Bumrah,2019-2020,12,12,114.3,4,620,15,41.33,5.41,45.8,0,0,Australia
B Kumar,2019-2019,6,6,57,1,304,15,20.26,5.33,22.8,1,0,Australia
RA Jadeja,2019-2023,16,15,146,2,748,12,62.33,5.12,73,0,0,Australia
YS Chahal,2019-2020,5,5,49,0,344,10,34.4,7.02,29.4,0,1,Australia
Mohammed Siraj,2019-2023,4,4,25.4,2,179,5,35.8,6.97,30.8,0,0,Australia
HH Pandya,2019-2023,7,5,28,0,183,5,36.6,6.53,33.6,0,0,Australia
NA Saini,2020-2020,4,4,37,0,280,4,70,7.56,55.5,0,0,Australia
Mohammed Siraj,2022-2022,3,3,25,1,132,6,22,5.28,25,0,0,Bangladesh
Washington Sundar,2022-2022,3,3,16,0,56,6,9.33,3.5,16,0,0,Bangladesh
JJ Bumrah,2019-2019,1,1,10,1,55,4,13.75,5.5,15,1,0,Bangladesh
JJ Bumrah,2019-2022,3,3,27.2,5,112,9,12.44,4.09,18.2,0,1,England
Mohammed Shami,2019-2022,4,4,34,1,186,9,20.66,5.47,22.6,0,1,England
M Prasidh Krishna,2021-2022,6,6,47.1,1,301,8,37.62,6.38,35.3,1,0,England
YS Chahal,2019-2022,4,4,31.5,0,205,7,29.28,6.43,27.2,1,0,England
SN Thakur,2021-2021,3,3,23.3,0,158,7,22.57,6.72,20.1,1,0,England
B Kumar,2021-2021,3,3,29,0,135,6,22.5,4.65,29,0,0,England
HH Pandya,2019-2022,7,5,36,3,182,6,30.33,5.05,36,1,0,England
YS Chahal,2019-2023,12,10,88.2,1,497,18,27.61,5.62,29.4,0,0,New Zealand
Kuldeep Yadav,2019-2023,8,8,63.3,2,343,16,21.43,5.4,23.8,2,0,New Zealand
Mohammed Shami,2019-2023,7,7,54.1,4,288,14,20.57,5.31,23.2,0,0,New Zealand
SN Thakur,2020-2023,7,7,56.3,3,415,11,37.72,7.34,30.8,0,0,New Zealand
B Kumar,2019-2019,6,6,44.1,4,214,10,21.4,4.84,26.5,0,0,New Zealand
HH Pandya,2019-2023,7,7,50,4,288,9,32,5.76,33.3,0,0,New Zealand
Mohammed Siraj,2023-2023,2,2,16,3,56,5,11.2,3.5,19.2,1,0,New Zealand
JJ Bumrah,2019-2022,4,4,40,1,172,7,24.57,4.3,34.2,0,0,South Africa
Kuldeep Yadav,2019-2022,4,4,31.1,1,152,7,21.71,4.87,26.7,1,0,South Africa
YS Chahal,2019-2022,4,4,39,0,198,6,33,5.07,39,1,0,South Africa
Mohammed Siraj,2022-2022,3,3,23,1,104,5,20.8,4.52,27.6,0,0,South Africa
Mohammed Siraj,2023-2023,3,3,22.4,2,92,9,10.22,4.05,15.1,1,0,Sri Lanka
Kuldeep Yadav,2019-2023,5,5,44,2,228,8,28.5,5.18,33,0,0,Sri Lanka
YS Chahal,2021-2023,3,3,30,1,160,6,26.66,5.33,30,0,0,Sri Lanka
Umran Malik,2023-2023,2,2,15,0,105,5,21,7,18,0,0,Sri Lanka
DL Chahar,2021-2021,2,2,15,1,90,4,22.5,6,22.5,0,0,Sri Lanka
B Kumar,2019-2021,3,3,29,0,190,4,47.5,6.55,43.5,0,0,Sri Lanka
HH Pandya,2019-2023,6,6,35,0,206,4,51.5,5.88,52.5,0,0,Sri Lanka
YS Chahal,2019-2022,7,7,56.5,0,309,15,20.6,5.43,22.7,2,0,West Indies
SN Thakur,2019-2023,9,9,65,2,381,15,25.4,5.86,26,0,0,West Indies
Kuldeep Yadav,2019-2023,9,9,70,3,348,14,24.85,4.97,30,1,0,West Indies
Mohammed Shami,2019-2019,7,7,50.5,4,272,13,20.92,5.35,23.4,1,0,West Indies
M Prasidh Krishna,2022-2022,5,5,41.1,5,160,10,16,3.88,24.7,1,0,West Indies
Mohammed Siraj,2022-2022,6,6,49,5,210,9,23.33,4.28,32.6,0,0,West Indies
RA Jadeja,2019-2023,8,8,52,0,294,8,36.75,5.65,39,0,0,West Indies
KK Ahmed,2019-2019,3,3,17,0,127,4,31.75,7.47,25.5,0,0,West Indies
B Kumar,2019-2019,3,3,17,2,90,4,22.5,5.29,25.5,1,0,West Indies
AR Patel,2022-2022,3,3,24.3,4,74,6,12.33,3.02,24.5,0,0,Zimbabwe
DL Chahar,2022-2022,2,2,17,0,102,5,20.4,6,20.4,0,0,Zimbabwe
M Prasidh Krishna,2022-2022,2,2,14.1,1,78,4,19.5,5.5,21.2,0,0,Zimbabwe
